MBO Permanent Identifier*,Data Entry Person (mPID - you)*,Data Entered for Action (mPID)*,Organization Type*,Name*,Legal Name,Alternate Name,Identifiers,URL,Description,Founding Date,Dissolution Date,Contact Points (mPIDs),Parent Organization (mPID),Member of Organizations (mPIDs),Has Departments (mPIDs),Grants (mPIDs),Keywords
mbo_org_awi,mbo_roblinksdata,mbo_task_1_1,ResearchOrganization,Alfred Wegener Institute,,,,,,1980-07-15,,,,,,,AWI
mbo_org_horizon_europe,mbo_roblinksdata,mbo_task_1_1,GovernmentOrganization,Horizon Europe,,,,https://research-and-innovation.ec.europa.eu/funding/funding-opportunities/funding-programmes-and-open-calls/horizon-europe_en,"Horizon Europe is the EU’s key funding programme for research and innovation. Following the Multiannual Financial Framework Midterm Review (MTR) decision, the indicative funding amount for Horizon Europe for the period 2021-2027 is EUR 93.5 billion.",2021-01-01,2028-12-31,,,,,,
mbo_org_ukri,mbo_roblinksdata,mbo_task_1_1,GovernmentOrganization,UK Research and Innovation,,UKRI,,https://www.ukri.org/,,2018-04-01,,,,,,,
mbo_org_mbo,mbo_roblinksdata,mbo_task_1_1,ResearchProject,MARCO-BOLO,,MARine COastal BiOdiversity Long-term Observations,,https://marcobolo-project.eu/,"The future of ocean health restoration may require increased biodiversity observation capabilities to support EU biodiversity directives and global initiatives. In this context, the EU-funded MARCO-BOLO project will reinforce European coastal and marine biodiversity observation capabilities. It will connect them to global efforts to understand and restore ocean health. The project will explore end user needs to optimise marine data flows and knowledge adoption and improve biodiversity observation-based governance. MARCO-BOLO will develop and demonstrate new autonomous technology for biodiversity mapping and monitoring, and data streams from remote sensing, eDNA, robotics, and optical and acoustic observations. It will then incorporate the sequence of processes into operational Essential Ocean Variables and Essential Biodiversity Variables, including them in online reusable workflows.",2022-12-01,2026-11-30,mbo_todo_contact_point_mbo_email|mbo_todo_contact_point_mbo_nick|mbo_todo_contact_point_mbo_giulia|mbo_todo_contact_point_mbo_mathilde,,,mbo_org_mbo_wp1|mbo_org_mbo_wp2|mbo_org_mbo_wp3|mbo_org_mbo_wp4|mbo_org_mbo_wp5|mbo_org_mbo_wp6|mbo_org_mbo_wp7,mbo_todo_monetary_grant_mbo_horizon_europe|mbo_todo_monetary_grant_mbo_horizon_europe_guarantee_noc|mbo_todo_monetary_grant_mbo_horizon_europe_guarantee_mba|mbo_todo_monetary_grant_mbo_horizon_europe_guarantee_mss,MARCO-BOLO
mbo_org_mbo_wp1,mbo_roblinksdata,mbo_task_1_1,ResearchProject,MARCO-BOLO Work Package 1,,MBO WP1,,https://marcobolo-project.eu/work-packages/work-package-1-delivering-essential-biodiversity-variables-local-to-global-biodiversity-metadata-for-coastal-and-marine-systems/,Delivering Essential Biodiversity Variables: Local to Global Biodiversity (meta)Data for Coastal and Marine Systems,,,,,mbo_org_mbo,,,MARCO-BOLO
mbo_org_mbo_wp2,mbo_roblinksdata,mbo_task_1_1,ResearchProject,MARCO-BOLO Work Package 2,,MBO WP2,,https://marcobolo-project.eu/work-packages/work-package-2-validating-the-use-of-edna/,Validating the Use of eDNA,,,,,mbo_org_mbo,,,MARCO-BOLO
mbo_org_mbo_wp3,mbo_roblinksdata,mbo_task_1_1,ResearchProject,MARCO-BOLO Work Package 3,,MBO WP3,,https://marcobolo-project.eu/work-packages/work-package-3-linking-land-and-sea-biodiversity-observation/,Linking Land and Sea Biodiversity Observation,,,,,mbo_org_mbo,,,MARCO-BOLO
mbo_org_mbo_wp4,mbo_roblinksdata,mbo_task_1_1,ResearchProject,MARCO-BOLO Work Package 4,,MBO WP4,,https://marcobolo-project.eu/work-packages/work-package-4-mapping-biodiversity-with-autonomous-systems/,Mapping Biodiversity with Autonomous Systems,,,,,mbo_org_mbo,,,MARCO-BOLO
mbo_org_mbo_wp5,mbo_roblinksdata,mbo_task_1_1,ResearchProject,MARCO-BOLO Work Package 5,,MBO WP5,,https://marcobolo-project.eu/work-packages/work-package-5-modelling-and-mapping-coastal-and-marine-biodiversity/,Modelling and Mapping Coastal and Marine Biodiversity,,,,,mbo_org_mbo,,,MARCO-BOLO
mbo_org_mbo_wp6,mbo_roblinksdata,mbo_task_1_1,ResearchProject,MARCO-BOLO Work Package 6,,MBO WP6,,https://marcobolo-project.eu/work-packages/work-package-6-stakeholder-engagement-and-community-integration/,Stakeholder Engagement and Community Integration,,,,,mbo_org_mbo,,,MARCO-BOLO
